unidad_academica,id_estudiante,estado_civil,sexo,sit_laboral,tipo_residencia,anio_nacimiento,anio_egreso_med
ESCINFO,ESCINFO-5228,1.0,2,NC,1.0,2003,2019
ESCINFO,ESCINFO-5565,1.0,1,No,2.0,2004,2020
ESCINFO,ESCINFO-5664,1.0,2,Si,1.0,2004,2020
ESCINFO,ESCINFO-5771,1.0,2,No,2.0,2001,2019
ESCINFO,ESCINFO-5547,1.0,2,NC,-1.0,2001,2018
ESCINFO,ESCINFO-5456,1.0,1,No,1.0,2002,2018
ESCINFO,ESCINFO-5170,1.0,2,Si,1.0,2003,2019
ESCINFO,ESCINFO-5595,1.0,1,Si,1.0,2004,2020
ESCINFO,ESCINFO-5287,1.0,2,Si,1.0,2001,2019
ESCINFO,ESCINFO-5682,1.0,2,No,1.0,2004,2020
ESCINFO,ESCINFO-5509,1.0,1,No,1.0,2001,2019
ESCINFO,ESCINFO-5132,2.0,1,1,1.0,2001,2019
ESCINFO,ESCINFO-5793,1.0,1,No,1.0,2002,2019
ESCINFO,ESCINFO-5406,1.0,2,NC,-1.0,2003,2019
ESCINFO,ESCINFO-5146,1.0,1,No,1.0,2003,2019
ESCINFO,ESCINFO-5163,2.0,2,NC,1.0,2002,2018
ESCINFO,ESCINFO-5790,1.0,1,No,1.0,2004,2020
ESCINFO,ESCINFO-5619,1.0,2,NC,-1.0,2002,2018
ESCINFO,ESCINFO-5521,1.0,2,NC,-1.0,2003,2019
ESCINFO,ESCINFO-5798,1.0,2,No,2.0,2002,2018
ESCINFO,ESCINFO-5343,1.0,1,No,1.0,2004,2020
ESCINFO,ESCINFO-5269,1.0,2,No,2.0,2001,2019
ESCINFO,ESCINFO-5194,1.0,1,No,1.0,2004,2020
ESCINFO,ESCINFO-5183,2.0,2,No,1.0,2001,2019
ESCINFO,ESCINFO-5506,1.0,2,1,3.0,2002,2019
ESCINFO,ESCINFO-5189,2.0,1,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5171,1.0,2,NC,1.0,2002,2019
ESCINFO,ESCINFO-5640,1.0,2,No,4.0,2004,2020
ESCINFO,ESCINFO-5224,1.0,2,NC,1.0,2004,2020
ESCINFO,ESCINFO-5330,1.0,1,NC,1.0,2004,2020
ESCINFO,ESCINFO-5161,1.0,2,NC,1.0,2001,2019
ESCINFO,ESCINFO-5612,1.0,1,NC,2.0,2003,2018
ESCINFO,ESCINFO-5637,1.0,2,NC,1.0,2002,2018
